Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dave Burkhart,Peter Johnston,Brent Rathgeber,Sam Sleiman,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 172","Edmonton",44,13,133,43,3,236,572
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 173","Edmonton",26,13,83,28,0,150,346
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 174","Edmonton",18,13,91,35,0,157,327
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 175","Edmonton",85,18,117,30,0,250,705
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 176","Edmonton",42,29,114,42,1,228,539
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 177","Edmonton",21,7,60,25,0,113,326
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 178","Edmonton",33,12,100,27,0,172,369
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 179","Edmonton",38,14,96,30,0,178,521
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 180","Edmonton",25,16,87,39,0,167,344
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 181","Edmonton",26,22,65,23,0,136,372
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 182","Edmonton",26,10,96,33,1,166,353
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 183","Edmonton",49,33,116,45,0,243,490
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 184","Edmonton",Void/Supprimé,,,,,,
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 185","Edmonton",38,15,142,26,0,221,465
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 186","Edmonton",32,11,111,21,0,175,388
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 187","Edmonton",23,14,107,19,1,164,327
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 188","Edmonton",38,11,96,15,0,160,364
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 189","Edmonton",21,18,97,21,0,157,315
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 190","Edmonton",21,4,78,24,0,127,253
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 191","Edmonton",21,5,68,21,0,115,292
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 192","Edmonton",Void/Supprimé,,,,,,
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 193A","Edmonton",Merged with No. 194/Fusionné avec le nº 194,,,,,,259
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 193B","Edmonton",40,13,269,38,3,363,530
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 194","Edmonton",54,22,175,30,0,281,419
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 195","Edmonton",44,10,101,27,0,182,368
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 196","Edmonton",Void/Supprimé,,,,,,
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 197","Edmonton",54,16,116,32,1,219,477
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 198","Edmonton",31,17,80,23,0,151,365
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 199","Edmonton",40,16,69,24,0,149,394
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 200","Edmonton",63,13,122,24,0,222,464
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 201","Edmonton",Void/Supprimé,,,,,,
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 202","Edmonton",56,22,91,21,0,190,447
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 203","Edmonton",37,14,55,25,0,131,404
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 204","Edmonton",44,16,91,22,0,173,418
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 205","Edmonton",37,16,93,9,2,157,398
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 206","Edmonton",48,22,78,37,0,185,462
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 207","Edmonton",43,24,104,18,0,189,365
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 208","Edmonton",28,13,92,18,2,153,387
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 209","Edmonton",31,6,75,6,0,118,396
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 210","Edmonton",46,7,78,16,0,147,334
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 211","Edmonton",37,16,65,21,0,139,423
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 500","Mobile poll/Bureau itinérant",11,12,62,21,1,107,152
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 501","Mobile poll/Bureau itinérant",11,9,64,17,5,106,170
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 502","Mobile poll/Bureau itinérant",34,8,77,22,1,142,175
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 503","Mobile poll/Bureau itinérant",21,9,83,22,0,135,265
