Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mark Canada,Yvon Lévesque,Erica Martin,Jean-Maurice Matte,Patrick Rancourt,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 77","Senneterre",11,9,3,43,3,2,71,169
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 78","Senneterre",11,22,8,41,3,2,87,250
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 79","Louuicort",19,32,12,27,2,0,92,187
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 79-1","Kitcisakik",17,0,0,0,1,0,18,50
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 80A","Lac-Simon",27,11,1,7,2,0,48,302
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 80B","Lac-Simon",26,10,0,5,1,0,42,409
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 81","Vassan",35,90,10,46,11,3,195,353
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 82","Vassan",24,71,14,56,6,3,174,339
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 83","Sullivan",31,132,16,80,12,9,280,559
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 84A","Sullivan",18,88,10,51,6,5,178,333
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 84B","Sullivan",13,66,11,56,6,5,157,340
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 85A","Sullivan",19,65,16,74,5,6,185,312
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 85B","Sullivan",26,69,8,66,6,5,180,319
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 86","Sullivan",21,72,10,30,5,6,144,355
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 87","Val-d'Or",15,63,6,47,3,2,136,302
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 88","Val-d'Or",18,103,18,90,4,0,233,462
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 89","Val-d'Or",43,125,26,139,4,0,337,598
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 90","Val-d'Or",19,100,23,90,7,6,245,523
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 91","Val-Senneville",17,63,18,58,3,2,161,357
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 92","Val-Senneville",16,68,14,54,6,1,159,323
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 93A","Val-Senneville",11,53,7,62,6,3,142,315
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 93B","Val-Senneville",16,56,11,77,4,1,165,300
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 94","Val-d'Or",43,113,18,65,18,7,264,527
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 95","Val-d'Or",13,52,12,47,9,7,140,420
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 96","Val-d'Or",22,61,8,78,6,1,176,388
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 97","Val-d'Or",20,91,14,46,9,5,185,395
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 98","Val-d'Or",12,74,8,38,0,3,135,352
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 99","Val-d'Or",17,95,18,65,2,8,205,497
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 100","Val-d'Or",18,60,8,30,2,1,119,379
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 101","Val-d'Or",10,39,7,24,6,3,89,309
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 102","Val-d'Or",16,53,9,49,2,5,134,347
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 103","Val-d'Or",16,83,7,68,4,6,184,411
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 104","Val-d'Or",19,76,14,60,3,2,174,356
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 105","Val-d'Or",22,70,13,50,1,2,158,353
