Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Katy Austin,Peter Ellis,Helena Guergis,Andrea Matrosovs,Caley McKibbin,Peter Vander Zaag,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35085,"Simcoe--Grey/Simcoe--Grey"," 191","Adjala-Tosorontio",13,37,114,62,1,6,0,233,454
35085,"Simcoe--Grey/Simcoe--Grey"," 192","New Tecumseth",18,15,92,37,0,9,0,171,388
35085,"Simcoe--Grey/Simcoe--Grey"," 193","New Tecumseth",17,17,107,18,0,1,0,160,335
35085,"Simcoe--Grey/Simcoe--Grey"," 194","New Tecumseth",11,8,95,36,0,6,0,156,310
35085,"Simcoe--Grey/Simcoe--Grey"," 195","New Tecumseth",15,33,78,31,0,9,0,166,373
35085,"Simcoe--Grey/Simcoe--Grey"," 196","New Tecumseth",20,16,81,26,0,5,2,150,369
35085,"Simcoe--Grey/Simcoe--Grey"," 197","New Tecumseth",12,11,101,46,0,2,1,173,334
35085,"Simcoe--Grey/Simcoe--Grey"," 198","New Tecumseth",41,34,111,32,3,6,0,227,561
35085,"Simcoe--Grey/Simcoe--Grey"," 199A","New Tecumseth",24,15,106,33,1,7,2,188,422
35085,"Simcoe--Grey/Simcoe--Grey"," 199B","New Tecumseth",46,24,95,33,0,8,1,207,442
35085,"Simcoe--Grey/Simcoe--Grey"," 200","New Tecumseth",15,18,107,38,0,3,0,181,455
35085,"Simcoe--Grey/Simcoe--Grey"," 201","New Tecumseth",20,17,118,41,1,9,0,206,420
35085,"Simcoe--Grey/Simcoe--Grey"," 202","New Tecumseth",10,8,143,61,0,1,1,224,457
35085,"Simcoe--Grey/Simcoe--Grey"," 203","New Tecumseth",4,13,111,53,1,2,0,184,381
35085,"Simcoe--Grey/Simcoe--Grey"," 204","New Tecumseth",18,17,171,85,2,2,0,295,483
35085,"Simcoe--Grey/Simcoe--Grey"," 205","New Tecumseth",15,10,128,64,0,5,0,222,381
35085,"Simcoe--Grey/Simcoe--Grey"," 206","New Tecumseth",18,13,181,64,2,10,2,290,499
35085,"Simcoe--Grey/Simcoe--Grey"," 207","New Tecumseth",20,8,54,36,0,9,2,129,342
35085,"Simcoe--Grey/Simcoe--Grey"," 208","New Tecumseth",18,20,56,33,1,6,2,136,368
35085,"Simcoe--Grey/Simcoe--Grey"," 209","New Tecumseth",18,17,80,43,2,8,3,171,356
35085,"Simcoe--Grey/Simcoe--Grey"," 210","New Tecumseth",34,14,134,27,2,6,0,217,439
35085,"Simcoe--Grey/Simcoe--Grey"," 211","New Tecumseth",35,24,86,23,1,9,1,179,406
35085,"Simcoe--Grey/Simcoe--Grey"," 212","New Tecumseth",26,8,103,36,2,14,0,189,422
35085,"Simcoe--Grey/Simcoe--Grey"," 213","New Tecumseth",16,14,84,30,0,4,0,148,334
35085,"Simcoe--Grey/Simcoe--Grey"," 214","New Tecumseth",24,15,75,24,0,2,1,141,342
35085,"Simcoe--Grey/Simcoe--Grey"," 215","New Tecumseth",37,38,121,25,0,5,1,227,499
35085,"Simcoe--Grey/Simcoe--Grey"," 216","New Tecumseth",13,19,97,32,0,9,0,170,351
35085,"Simcoe--Grey/Simcoe--Grey"," 217","New Tecumseth",13,27,99,27,0,6,0,172,343
35085,"Simcoe--Grey/Simcoe--Grey"," 218","New Tecumseth",29,18,138,34,2,5,2,228,446
35085,"Simcoe--Grey/Simcoe--Grey"," 219","New Tecumseth",14,23,99,36,0,2,1,175,353
35085,"Simcoe--Grey/Simcoe--Grey"," 220","New Tecumseth",23,28,100,30,0,8,0,189,364
35085,"Simcoe--Grey/Simcoe--Grey"," 221","New Tecumseth",33,24,63,20,0,3,2,145,287
35085,"Simcoe--Grey/Simcoe--Grey"," 222","New Tecumseth",20,29,77,33,0,5,0,164,270
35085,"Simcoe--Grey/Simcoe--Grey"," 223","New Tecumseth",28,31,139,36,0,2,0,236,445
35085,"Simcoe--Grey/Simcoe--Grey"," 224","New Tecumseth",25,25,130,36,2,3,0,221,355
35085,"Simcoe--Grey/Simcoe--Grey"," 225","New Tecumseth",20,37,110,26,2,4,0,199,368
35085,"Simcoe--Grey/Simcoe--Grey"," 226","New Tecumseth",27,31,110,51,0,2,2,223,403
35085,"Simcoe--Grey/Simcoe--Grey"," 227","New Tecumseth",16,27,124,28,0,7,1,203,356
35085,"Simcoe--Grey/Simcoe--Grey"," 228","New Tecumseth",16,26,114,71,1,3,1,232,459
35085,"Simcoe--Grey/Simcoe--Grey"," 229","New Tecumseth",13,24,139,44,0,5,2,227,424
35085,"Simcoe--Grey/Simcoe--Grey"," 230","New Tecumseth",8,20,62,29,1,2,0,122,277
35085,"Simcoe--Grey/Simcoe--Grey"," 231","New Tecumseth",17,9,82,35,2,1,0,146,302
35085,"Simcoe--Grey/Simcoe--Grey"," 232","New Tecumseth",25,37,133,60,0,3,1,259,473
35085,"Simcoe--Grey/Simcoe--Grey"," 233","New Tecumseth",15,18,79,32,1,9,3,157,292
35085,"Simcoe--Grey/Simcoe--Grey"," 234","New Tecumseth",32,32,104,39,2,5,2,216,415
35085,"Simcoe--Grey/Simcoe--Grey"," 235","New Tecumseth",27,26,98,24,1,5,0,181,337
35085,"Simcoe--Grey/Simcoe--Grey"," 236","New Tecumseth",11,15,66,25,2,2,0,121,265
