Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dave Joslin,Ben Lobb,Greg McClinchey,Tony McQuail,Glen Smith,Dennis Valenta,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35034,"Huron--Bruce/Huron--Bruce"," 68","Maple Hill",12,96,75,32,20,2,0,237,460
35034,"Huron--Bruce/Huron--Bruce"," 69","Lake Rosalind",4,85,35,12,12,1,0,149,284
35034,"Huron--Bruce/Huron--Bruce"," 70","Brockton",3,55,48,18,9,1,0,134,295
35034,"Huron--Bruce/Huron--Bruce"," 71","Ambleside",10,60,57,43,9,3,0,182,357
35034,"Huron--Bruce/Huron--Bruce"," 72","Otter Creek",2,66,57,22,6,1,2,156,294
35034,"Huron--Bruce/Huron--Bruce"," 73","Carlsruhe",7,47,31,14,7,1,0,107,212
35034,"Huron--Bruce/Huron--Bruce"," 74","Mildmay",7,59,57,39,14,0,1,177,261
35034,"Huron--Bruce/Huron--Bruce"," 75","Mildmay",2,81,86,38,18,1,2,228,429
35034,"Huron--Bruce/Huron--Bruce"," 76","Mildmay",5,51,39,19,8,2,1,125,207
35034,"Huron--Bruce/Huron--Bruce"," 77","Ambleside",Void/Supprimé,,,,,,,,
35034,"Huron--Bruce/Huron--Bruce"," 78","Mildmay",0,54,65,32,22,1,0,174,276
35034,"Huron--Bruce/Huron--Bruce"," 79","Deemerton",5,40,37,22,11,1,1,117,197
35034,"Huron--Bruce/Huron--Bruce"," 80","Huron",6,70,59,28,6,0,1,170,254
35034,"Huron--Bruce/Huron--Bruce"," 81","Ripley",0,139,113,57,16,1,0,326,577
35034,"Huron--Bruce/Huron--Bruce"," 82","Kinlough",3,55,39,12,5,0,0,114,284
35034,"Huron--Bruce/Huron--Bruce"," 83","Holyrood",5,68,45,14,8,0,0,140,258
35034,"Huron--Bruce/Huron--Bruce"," 84","Langside",10,47,49,22,4,1,0,133,217
35034,"Huron--Bruce/Huron--Bruce"," 85","Lucknow",1,83,53,40,13,1,2,193,344
35034,"Huron--Bruce/Huron--Bruce"," 86","Lucknow",1,63,63,21,9,0,0,157,257
35034,"Huron--Bruce/Huron--Bruce"," 87","Lucknow",2,84,65,18,5,1,1,176,325
35034,"Huron--Bruce/Huron--Bruce"," 88","Kintail",4,135,114,44,11,1,0,309,590
35034,"Huron--Bruce/Huron--Bruce"," 89","St. Helens",0,44,35,23,2,1,0,105,243
