Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jo-Anne Boulding,Tony Clement,Glen Hodgson,Jamie McGarvey,David Rowland,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 155","Muskoka Lakes",6,36,9,18,1,0,70,111
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 156","Bracebridge",20,71,31,46,5,0,173,369
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 156-1","Bracebridge",16,49,11,32,0,1,109,247
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 157","Bracebridge",35,97,36,63,3,0,234,478
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 158","Baysville",35,75,23,50,1,0,184,275
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 159","Dorset",26,77,23,57,0,0,183,286
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 160","Baysville",36,133,49,63,4,0,285,458
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 161","Bracebridge",35,96,40,44,1,1,217,438
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 161-1","Bracebridge",38,97,39,52,0,0,226,434
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 162","Bracebridge",22,74,25,51,1,0,173,357
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 163","Bracebridge",18,73,21,35,0,0,147,291
