District,Poll Number,Poll Name,Joe Fontana,Tim Gatten,Gustavo Granados-Ocon,Bronagh Joyce Morgan,Rod Morley,Joe Swan,Rejected Ballots,Total Vote,Electors
London North Centre/London-Centre-Nord,407,London,Merged with No. 403,,,,,,,,49
London North Centre/London-Centre-Nord,408,London,Void,,,,,,,,
London North Centre/London-Centre-Nord,409,London,Void,,,,,,,,
London North Centre/London-Centre-Nord,410,London,Void,,,,,,,,
London North Centre/London-Centre-Nord,411,London,48,19,1,5,2,59,2,136,131
London North Centre/London-Centre-Nord,412,London,124,50,0,4,1,35,1,215,312
London North Centre/London-Centre-Nord,413,London,24,5,0,0,3,10,1,43,130
London North Centre/London-Centre-Nord,414,London,82,25,1,4,1,55,1,169,257
London North Centre/London-Centre-Nord,500,Mobile poll/Bureau itinérant,28,18,0,1,1,10,3,61,109
London North Centre/London-Centre-Nord,600,London,332,326,0,16,2,54,0,730,
London North Centre/London-Centre-Nord,601,London,274,222,1,15,0,67,1,580,
London North Centre/London-Centre-Nord,602,London,246,273,0,15,2,107,1,644,
London North Centre/London-Centre-Nord,603,London,197,158,3,15,0,71,1,445,
London North Centre/London-Centre-Nord,604,London,260,158,0,15,2,54,2,491,
London North Centre/London-Centre-Nord,605,London,147,142,0,18,3,140,0,450,
London North Centre/London-Centre-Nord,606,London,202,118,1,25,4,153,3,506,
London North Centre/London-Centre-Nord,607,London,199,138,0,26,1,126,3,493,
London North Centre/London-Centre-Nord,608,London,94,56,1,18,3,111,2,285,
London North Centre/London-Centre-Nord,609,London,143,106,2,25,2,138,3,419,
London North Centre/London-Centre-Nord,,Group 1/Groupe 1,74,56,1,13,7,27,3,181,401
London North Centre/London-Centre-Nord,,Group 2/Groupe 2,254,176,2,31,2,122,7,594,
