District,Poll Number,Poll Name,Blaine Armstrong,Carol Hughes,Lindsay Killen,Brent St. Denis,Rejected Ballots,Total Vote,Electors
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,180,Wikwemikong Unceded 26,6,33,1,75,0,115,442
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,181,Wikwemikong,13,31,4,125,1,174,716
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,182,Assiginack,87,41,12,57,0,197,359
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,183,Manitouwaning,69,36,11,70,1,187,314
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,184,Kaboni--South Bay,6,12,3,38,0,59,172
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,185,Spring Bay,167,32,8,49,0,256,351
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,186,Providence Bay,86,48,24,58,0,216,337
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,187,Mindemoya,119,43,14,58,1,235,361
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,188,Mindemoya,Void,,,,,,
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,189,Mindemoya,85,14,12,67,0,178,308
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,190,M'Chigeeng 22,26,56,11,115,0,208,563
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,191,Big Lake--Sandfield,56,13,15,49,0,133,215
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,192,Tehkummah,95,45,17,81,2,240,360
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,193,Meldrum Bay,17,6,1,12,1,37,51
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,194,Silver Water,30,16,4,31,0,81,116
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,195,Zhiibaahaasing 19A,1,0,0,22,0,23,26
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,196,Sheshegwaning,3,8,0,35,0,46,62
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,197,Burpee and Mills,105,39,10,28,0,182,262
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,198,Gordon--Barrie Island,98,18,7,44,1,168,236
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,199,Gore Bay,124,20,8,53,2,207,352
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,200,Gore Bay,183,23,7,68,2,283,470
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,201,Kagawong,109,56,14,95,2,276,418
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,500,Mobile poll/Bureau itinérant,4,16,2,31,5,58,139
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,501,Mobile poll/Bureau itinérant,15,15,3,30,1,64,98
