District,Poll Number,Poll Name,Bob Kilger,Guy Lauzon,Elaine MacDonald,Tom Manley,Rejected Ballots,Total Vote,Electors
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,40,Lodi,76,103,17,16,1,213,351
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,41,Moose Creek,106,103,37,19,2,267,409
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,42,Sandringham,103,136,21,31,6,297,422
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,43,Finch,30,137,7,33,0,207,322
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,44,Finch,43,117,14,39,0,213,351
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,45,Avonmore,50,117,15,36,0,218,392
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,46,Gravel Hill,76,133,17,10,0,236,402
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,47,Roxborough,38,77,17,14,1,147,260
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,48,Strathmore,76,88,24,8,0,196,305
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,49,Sandtown,43,116,18,15,2,194,315
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,50,Newington,41,132,36,28,2,239,374
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,51,Williamsburg,61,146,21,17,2,247,313
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,52,Boucks Hill,57,143,18,29,1,248,371
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,53,Gallingertown,69,118,13,23,2,225,374
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,54,Osnabruck Centre,53,187,30,22,1,293,454
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,55,Glen Becker,80,159,17,21,1,278,469
