District,Poll Number,Poll Name,Marc Bombois,Andrea Goldsmith,Anne Jamieson,John Reynolds,Nicholas Simons,Blair Wilson,Rejected Ballots,Total Vote,Electors
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,121,Whistler,2,34,0,29,18,54,1,138,299
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,122,Whistler,0,54,0,43,37,91,1,226,470
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,123,Bowen Island,0,64,0,50,38,120,0,272,418
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,124,Bowen Island,Void,,,,,,,,
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,125A,Bowen Island,0,36,0,41,43,69,0,189,278
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,125B,Bowen Island,0,37,0,59,40,74,1,211,313
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,126,Bowen Island,2,20,0,30,30,43,0,125,180
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,127A,Bowen Island,1,58,1,84,77,109,1,331,499
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,127B,Bowen Island,3,59,0,68,54,127,0,311,458
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,128,Lions Bay,1,22,0,131,9,75,1,239,344
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,129,Lions Bay,0,32,0,108,18,109,0,267,399
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,130,Lions Bay,0,28,0,65,24,84,1,202,285
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,131,West Vancouver,0,22,0,100,19,84,0,225,350
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,132,West Vancouver,1,24,0,67,10,73,0,175,332
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,133,West Vancouver,1,31,0,88,16,87,1,224,316
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,134,West Vancouver,0,34,0,119,18,134,1,306,477
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,135,West Vancouver,0,34,0,129,17,110,0,290,428
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,136,West Vancouver,0,14,0,176,6,110,0,306,490
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,137,West Vancouver,0,39,0,127,19,120,0,305,452
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,138,West Vancouver,0,29,1,98,16,84,0,228,362
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,139,West Vancouver,0,31,1,118,8,106,1,265,404
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,140,West Vancouver,0,19,0,106,12,144,0,281,454
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,141,West Vancouver,0,28,0,91,14,149,0,282,442
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,142A,West Vancouver,0,10,0,105,6,68,0,189,297
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,142B,West Vancouver,0,14,0,106,6,80,1,207,324
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,143,West Vancouver,0,19,0,117,2,104,0,242,411
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,144,West Vancouver,0,8,0,71,5,61,0,145,253
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,145,West Vancouver,0,20,0,136,12,83,0,251,411
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,146,West Vancouver,1,18,0,145,6,101,0,271,421
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,147,West Vancouver,0,9,0,129,15,131,0,284,421
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,148,West Vancouver,0,19,3,117,6,109,2,256,398
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,149,West Vancouver,0,22,0,133,11,108,0,274,411
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,150,West Vancouver,1,14,0,115,19,130,0,279,422
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,151,West Vancouver,1,10,0,99,7,89,0,206,331
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,152,West Vancouver,1,12,0,96,5,93,0,207,360
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,153,West Vancouver,0,26,0,117,11,121,0,275,429
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,154,West Vancouver,2,18,1,111,14,100,1,247,402
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,155,West Vancouver,0,25,0,113,12,94,0,244,364
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,156,West Vancouver,0,20,0,97,13,123,0,253,401
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,157,West Vancouver,1,9,0,70,7,82,0,169,353
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,158,West Vancouver,0,21,0,180,11,164,0,376,687
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,159,West Vancouver,1,7,0,91,4,84,0,187,436
