Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Chris Axworthy,Don Cameron,Jim Maddin,Dale Sanders,Maurice Vellacott,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 34","Hague",19,6,11,2,183,1,222,358
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 35A","Hague",20,10,19,3,165,0,217,335
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 35B","Hague",17,3,10,1,122,0,153,243
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 36","Dalmeny",8,4,11,1,61,0,85,142
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 37","Osler",12,0,10,0,156,0,178,275
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 38A","Dalmeny",20,4,19,0,90,0,133,442
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 38B","Dalmeny",45,15,49,5,306,0,420,438
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 39A","Dalmeny",31,2,43,1,141,2,220,339
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 39B","Dalmeny",37,9,46,1,112,2,207,348
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 40","Dalmeny",50,13,35,1,184,0,283,400
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 41","Osler",26,10,22,7,204,0,269,397
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 42A","Osler",13,7,26,1,149,1,197,275
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 42B","Osler",13,3,30,7,136,0,189,279
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 42-1","Osler",14,3,20,1,97,0,135,172
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 43A","Warman",21,9,32,2,202,1,267,401
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 43B","Warman",41,6,32,6,152,1,238,350
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 44","Warman",29,3,29,1,225,0,287,429
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 45","Warman",24,7,42,8,177,1,259,423
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 46","Warman",17,7,29,4,120,0,177,303
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 47","Warman",31,6,45,3,199,0,284,438
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 48","Martensville",41,8,62,5,188,0,304,520
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 49","Martensville",19,4,26,0,70,0,119,312
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 50A","Martensville",27,9,40,3,100,1,180,299
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 50B","Martensville",26,8,38,0,104,0,176,366
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 50C","Martensville",28,11,43,1,94,0,177,336
