Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Adam DeVita,Cameron W. Hastings,Costas Menegakis,Bryon Wilfert,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35075,"Richmond Hill/Richmond Hill"," 126-1","Richmond Hill",18,4,77,52,0,151,410
35075,"Richmond Hill/Richmond Hill"," 127","Richmond Hill",34,12,147,80,1,274,529
35075,"Richmond Hill/Richmond Hill"," 128","Richmond Hill",6,6,167,67,2,248,561
35075,"Richmond Hill/Richmond Hill"," 129","Richmond Hill",41,11,152,114,0,318,595
35075,"Richmond Hill/Richmond Hill"," 130","Richmond Hill",46,7,86,121,1,261,490
35075,"Richmond Hill/Richmond Hill"," 131","Richmond Hill",26,9,113,75,1,224,414
35075,"Richmond Hill/Richmond Hill"," 132","Richmond Hill",20,7,95,102,2,226,480
35075,"Richmond Hill/Richmond Hill"," 133","Richmond Hill",14,6,87,70,0,177,415
35075,"Richmond Hill/Richmond Hill"," 134","Richmond Hill",27,8,90,123,1,249,448
35075,"Richmond Hill/Richmond Hill"," 135","Richmond Hill",34,9,91,125,5,264,535
35075,"Richmond Hill/Richmond Hill"," 136","Richmond Hill",35,11,103,98,0,247,517
35075,"Richmond Hill/Richmond Hill"," 137","Richmond Hill",56,9,69,73,0,207,556
35075,"Richmond Hill/Richmond Hill"," 137-1","Richmond Hill",49,8,97,46,0,200,446
35075,"Richmond Hill/Richmond Hill"," 137-2","Richmond Hill",Void/Supprimé,,,,,,
35075,"Richmond Hill/Richmond Hill"," 137-3","Richmond Hill",61,5,106,52,1,225,652
35075,"Richmond Hill/Richmond Hill"," 137-4","Richmond Hill",Void/Supprimé,,,,,,
35075,"Richmond Hill/Richmond Hill"," 138","Richmond Hill",45,13,115,84,0,257,537
35075,"Richmond Hill/Richmond Hill"," 139","Richmond Hill",26,7,53,57,1,144,328
35075,"Richmond Hill/Richmond Hill"," 139-1","Richmond Hill",24,7,80,40,0,151,353
35075,"Richmond Hill/Richmond Hill"," 140","Richmond Hill",25,4,54,64,0,147,436
35075,"Richmond Hill/Richmond Hill"," 141","Richmond Hill",14,3,43,22,0,82,228
35075,"Richmond Hill/Richmond Hill"," 142","Richmond Hill",24,2,67,58,0,151,425
35075,"Richmond Hill/Richmond Hill"," 143","Richmond Hill",24,5,87,53,1,170,464
35075,"Richmond Hill/Richmond Hill"," 144","Richmond Hill",29,3,64,54,0,150,414
35075,"Richmond Hill/Richmond Hill"," 144-1","Richmond Hill",18,1,36,31,0,86,225
35075,"Richmond Hill/Richmond Hill"," 144-2","Richmond Hill",32,7,104,77,1,221,470
35075,"Richmond Hill/Richmond Hill"," 144-3","Richmond Hill",38,6,69,56,0,169,419
35075,"Richmond Hill/Richmond Hill"," 144-4","Richmond Hill",29,4,85,65,0,183,385
35075,"Richmond Hill/Richmond Hill"," 145","Richmond Hill",55,15,83,94,2,249,591
35075,"Richmond Hill/Richmond Hill"," 146","Richmond Hill",70,2,82,64,2,220,587
35075,"Richmond Hill/Richmond Hill"," 147","Richmond Hill",31,3,58,54,0,146,322
35075,"Richmond Hill/Richmond Hill"," 147-1","Richmond Hill",23,1,51,44,1,120,330
