Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Denis A. Carrière,Yves Fricot,Richard Harvey,Bruce Hyer,Scot Kyle,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 157","Thunder Bay",Void/Supprimé,,,,,,,
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 158","Thunder Bay",0,18,19,70,7,1,115,245
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 159","Thunder Bay",3,25,57,62,10,2,159,299
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 160","Thunder Bay",1,53,51,100,6,0,211,381
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 161","Thunder Bay",1,26,21,88,16,0,152,385
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 162","Thunder Bay",2,14,19,69,7,1,112,284
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 163","Rossport",4,10,18,33,4,1,70,102
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 163-1","Pays Plat 51",2,1,1,27,1,0,32,56
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 164","Schreiber",2,22,35,61,1,0,121,258
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 165","Schreiber",1,15,21,34,3,0,74,165
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 166","Schreiber",4,22,29,32,4,0,91,229
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 167","Schreiber",4,32,64,55,0,0,155,288
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 168","Terrace Bay",3,41,61,69,7,1,182,319
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 169","Terrace Bay",4,31,56,94,5,1,191,372
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 170","Terrace Bay",1,14,25,34,2,0,76,180
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 171","Terrace Bay",4,32,53,61,6,0,156,317
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 172","Heron Bay",Void/Supprimé,,,,,,,
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 172-1","Jackfish",Void/Supprimé,,,,,,,
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 173","Pic River",6,7,3,117,7,0,140,294
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 174","Heron Bay",0,11,25,72,9,0,117,333
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 175","Marathon",2,11,24,88,3,0,128,303
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 176","Marathon",0,12,34,101,3,1,151,319
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 177","Marathon",1,19,35,93,6,1,155,291
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 178","Marathon",0,11,44,98,8,0,161,380
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 179","Marathon",1,12,45,95,3,1,157,300
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 180","Marathon",1,12,66,122,10,0,211,418
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 181","Marathon",1,21,42,94,5,2,165,353
