Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,André Arthur,Richard Côté,Claudine Delorme,Élaine Michaud,Réjean Thériault,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 10","Lac-Delage",55,83,7,151,16,4,316,448
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 11","Stoneham-et-Tewkesbury",72,47,4,121,17,8,269,574
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 12","Saint-Gabriel-de-Valcartier",84,49,11,146,27,5,322,516
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 13","Saint-Gabriel-de-Valcartier",119,32,13,157,27,18,366,646
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 14","Saint-Gabriel-de-Valcartier",76,27,12,125,16,6,262,455
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 15","Sainte-Brigitte-de-Laval",94,55,5,148,9,13,324,624
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 16A","Sainte-Brigitte-de-Laval",51,23,7,85,1,10,177,369
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 16B","Sainte-Brigitte-de-Laval",57,27,2,88,9,6,189,370
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 17A","Sainte-Brigitte-de-Laval",62,26,6,80,10,3,187,356
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 17B","Sainte-Brigitte-de-Laval",62,31,7,76,8,0,184,355
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 18","Sainte-Brigitte-de-Laval",52,28,4,111,15,5,215,465
