Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Daniel Beals,Alicia Gordon,Ted Hsu,Eric Walton,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35036,"Kingston and the Islands/Kingston et les Îles"," 205","Kingston",30,29,120,12,1,192,428
35036,"Kingston and the Islands/Kingston et les Îles"," 206","Kingston",Void/Supprimé,,,,,,
35036,"Kingston and the Islands/Kingston et les Îles"," 206-1","Kingston",Merged with No. 199/Fusionné avec le nº 199,,,,,,209
35036,"Kingston and the Islands/Kingston et les Îles"," 206-2","Kingston",Merged with No. 202/Fusionné avec le nº 202,,,,,,206
35036,"Kingston and the Islands/Kingston et les Îles"," 207","Kingston",25,101,107,5,0,238,494
35036,"Kingston and the Islands/Kingston et les Îles"," 208","Kingston",36,76,91,7,2,212,398
35036,"Kingston and the Islands/Kingston et les Îles"," 209","Kingston",55,111,46,9,0,221,432
35036,"Kingston and the Islands/Kingston et les Îles"," 210","Kingston",55,125,102,7,0,289,608
35036,"Kingston and the Islands/Kingston et les Îles"," 211","Kingston",24,51,53,11,1,140,274
35036,"Kingston and the Islands/Kingston et les Îles"," 212","Kingston",36,78,107,8,1,230,464
35036,"Kingston and the Islands/Kingston et les Îles"," 213","Kingston",44,134,48,12,0,238,621
35036,"Kingston and the Islands/Kingston et les Îles"," 214","Kingston",Void/Supprimé,,,,,,
35036,"Kingston and the Islands/Kingston et les Îles"," 215","Kingston",Void/Supprimé,,,,,,
35036,"Kingston and the Islands/Kingston et les Îles"," 216","Kingston",25,54,46,10,0,135,236
35036,"Kingston and the Islands/Kingston et les Îles"," 217","Kingston",40,127,65,14,0,246,467
35036,"Kingston and the Islands/Kingston et les Îles"," 218","Kingston",35,117,123,9,0,284,522
35036,"Kingston and the Islands/Kingston et les Îles"," 219","Kingston",27,65,88,11,0,191,347
35036,"Kingston and the Islands/Kingston et les Îles"," 220","Kingston",35,52,57,7,1,152,384
35036,"Kingston and the Islands/Kingston et les Îles"," 221A","Kingston",28,76,62,4,0,170,330
35036,"Kingston and the Islands/Kingston et les Îles"," 221B","Kingston",31,83,60,2,0,176,302
35036,"Kingston and the Islands/Kingston et les Îles"," 221-1A","Pittsburgh",61,105,71,7,1,245,386
35036,"Kingston and the Islands/Kingston et les Îles"," 221-1B","Pittsburgh",34,94,76,5,0,209,356
35036,"Kingston and the Islands/Kingston et les Îles"," 222","Kingston",64,99,73,5,9,250,449
35036,"Kingston and the Islands/Kingston et les Îles"," 222-1","Pittsburgh",55,135,87,9,1,287,516
35036,"Kingston and the Islands/Kingston et les Îles"," 223","Kingston",58,130,77,12,0,277,557
35036,"Kingston and the Islands/Kingston et les Îles"," 223-1","Pittsburgh",Void/Supprimé,,,,,,
35036,"Kingston and the Islands/Kingston et les Îles"," 224","Howe Island",63,129,106,12,1,311,473
35036,"Kingston and the Islands/Kingston et les Îles"," 225","Wolfe Island",68,158,127,22,3,378,520
35036,"Kingston and the Islands/Kingston et les Îles"," 226","Wolfe Island",58,115,129,17,2,321,436
35036,"Kingston and the Islands/Kingston et les Îles"," 400","Kingston",12,28,20,2,2,64,100
35036,"Kingston and the Islands/Kingston et les Îles"," 401","Kingston",16,32,44,3,0,95,142
35036,"Kingston and the Islands/Kingston et les Îles"," 402","Kingston",13,4,28,3,1,49,173
35036,"Kingston and the Islands/Kingston et les Îles"," 403","Kingston",Void/Supprimé,,,,,,
35036,"Kingston and the Islands/Kingston et les Îles"," 404","Kingston",15,47,32,5,0,99,167
35036,"Kingston and the Islands/Kingston et les Îles"," 405","Kingston",Merged with No. 150/Fusionné avec le nº 150,,,,,,94
35036,"Kingston and the Islands/Kingston et les Îles"," 406","Kingston",Void/Supprimé,,,,,,
35036,"Kingston and the Islands/Kingston et les Îles"," 407","Kingston",13,17,19,6,5,60,93
35036,"Kingston and the Islands/Kingston et les Îles"," 408","Kingston",Void/Supprimé,,,,,,
35036,"Kingston and the Islands/Kingston et les Îles"," 409","Kingston",Void/Supprimé,,,,,,
35036,"Kingston and the Islands/Kingston et les Îles"," 410","Kingston",42,120,143,5,0,310,200
35036,"Kingston and the Islands/Kingston et les Îles"," 411","Kingston",Merged with No. 410/Fusionné avec le nº 410,,,,,,143
35036,"Kingston and the Islands/Kingston et les Îles"," 412","Kingston",Merged with No. 410/Fusionné avec le nº 410,,,,,,153
