Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bob D'Eith,Mike Murray,Steve Ranta,Dan Ruimy,Peter Tam,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 94","Maple Ridge",57,48,8,59,13,0,185,329
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 95","Maple Ridge",50,45,1,70,8,0,174,393
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 96","Maple Ridge",55,59,1,62,14,2,193,471
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 97","Maple Ridge",62,74,4,67,9,1,217,341
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 98","Maple Ridge",31,35,9,66,3,0,144,286
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 99","Maple Ridge",55,86,2,93,11,0,247,164
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 100","Maple Ridge",64,109,2,111,7,2,295,440
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 101","Maple Ridge",55,51,3,83,9,0,201,382
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 102","Maple Ridge",62,69,4,86,10,0,231,395
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 103","Maple Ridge",45,80,4,90,13,1,233,423
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 104","Maple Ridge",62,69,2,90,15,1,239,464
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 105","Maple Ridge",70,64,0,79,12,0,225,414
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 106","Maple Ridge",90,69,1,102,12,0,274,487
