Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Stella Ambler,Ariana Burgener,Eric Guerbilsky,Sven Spengemann,Dagmar Sullivan,Paul Woodworth,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 189","Mississauga",127,16,21,138,0,1,0,303,467
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 190","Mississauga",92,3,0,57,0,0,0,152,320
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 191","Mississauga",90,10,14,118,0,0,0,232,396
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 192","Mississauga",120,6,25,155,1,1,1,309,504
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 193","Mississauga",93,3,15,138,1,3,0,253,468
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 194A","Mississauga",47,3,16,50,0,1,1,118,277
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 194B","Mississauga",37,5,16,51,1,2,0,112,263
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 195","Mississauga",71,8,16,93,1,0,0,189,367
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 196","Mississauga",Void/Supprimé,,,,,,,,
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 197","Mississauga",Void/Supprimé,,,,,,,,
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 198","Mississauga",38,5,18,87,0,0,2,150,341
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 400","Mississauga",117,5,14,126,0,1,0,263,365
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 401","Mississauga",52,1,18,105,0,4,1,181,460
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 402","Mississauga",25,2,16,66,1,0,1,111,247
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 403","Mississauga",51,3,25,98,0,2,0,179,364
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 404","Mississauga",19,1,12,73,0,1,0,106,233
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 405","Mississauga",77,7,27,106,0,2,1,220,311
