Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Betty Bannon,Mike Bossio,Daryl Kramp,Cam Mather,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 152","Greater Napanee",18,112,48,5,1,184,381
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 153","Greater Napanee",34,129,106,3,1,273,454
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 154A","Greater Napanee",21,97,72,5,3,198,344
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 154B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°503B,,,,,,72
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 155","Marysville",27,118,91,3,1,240,399
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 156","Shannonville",23,105,82,6,2,218,377
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 157","Shannonville",30,87,83,3,2,205,414
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 158","Shannonville",16,55,60,6,0,137,291
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 159","Shannonville",36,78,28,2,1,145,294
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 160","Belleville",18,82,125,7,0,232,510
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 161","Belleville",26,102,98,0,0,226,462
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 162","Belleville",18,70,73,4,1,166,418
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 163","Belleville",14,66,82,0,0,162,404
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 164","Belleville",23,119,103,7,3,255,513
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 165","Belleville",24,177,145,3,1,350,629
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 166","Belleville",23,152,125,5,0,305,587
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 167","Belleville",10,94,79,4,1,188,408
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 168","Belleville",12,59,47,3,0,121,264
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 169","Belleville",22,64,90,3,0,179,378
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 170","Belleville",17,99,82,5,0,203,353
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 171","Belleville",25,78,122,7,0,232,487
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 172","Belleville",14,97,130,4,2,247,486
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 173","Belleville",26,87,129,2,2,246,440
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 174","Belleville",30,81,109,2,0,222,448
