Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jenn Brown,Tyler John Colbourne,Judy M. Foote,Mike Windsor,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 53","Low Point--Lower Island Cove--Caplin Cove",21,1,136,11,1,170,292
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 54","Sibleys Cove--Lead Cove",11,0,74,13,0,98,124
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 55","Brownsdale--New Melbourne",13,1,79,6,0,99,235
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 56","Burnt Point--Job's Cove",6,3,120,10,0,139,286
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 57","Burnt Point--Job's Cove",5,1,45,8,0,59,133
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 58","Northern Bay--Ochre Pit Cove",16,2,96,9,0,123,280
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 59","Hant's Harbour",22,4,174,17,0,217,346
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 60","Britannia--Lower Lance Cove",3,1,68,4,0,76,177
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 61","Burgoynes Cove--New Burnt Cove--Clifton",5,0,31,7,0,43,110
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 62","Sweet Bay",9,2,79,13,0,103,151
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 63","Portland--Jamestown--Winter Brook",10,0,110,13,0,133,315
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 64","Charlottetown",3,0,93,17,1,114,201
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 65","Sandy Cove",24,4,180,20,0,228,400
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 66","Sandringham",10,2,68,11,0,91,201
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 67","Traytown",10,0,138,32,0,180,313
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 68","Glovertown",11,2,93,5,1,112,224
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 69","Glovertown--Saunders Cove",11,0,110,29,0,150,343
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 70","Glovertown",6,0,101,48,2,157,384
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 71","Glovertown",10,0,107,20,0,137,258
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 72","Glovertown",9,1,143,74,1,228,427
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 73","Centreville-Wareham-Trinity",1,0,95,16,0,112,273
