Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Marc Boudreau,Vincent François,Jennifer Kaszel,Jamie Nicholls,Peter Schiefke,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 165","Saint-Lazare",18,42,7,47,64,4,182,283
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 166","Les Cèdres",16,36,2,36,46,3,139,307
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 167","Les Cèdres",23,42,4,37,32,3,141,256
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 168","Les Cèdres",17,42,2,27,65,6,159,294
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 169","Les Cèdres",15,54,3,39,51,2,164,290
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 170","Les Cèdres",24,63,6,49,87,0,229,428
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 171A","Les Cèdres",11,27,2,30,61,3,134,261
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 171B","Les Cèdres",13,37,7,37,71,1,166,288
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 172","Les Cèdres",27,61,6,57,58,9,218,417
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 173","Les Cèdres",14,44,3,54,64,6,185,314
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 174","Les Cèdres",25,54,6,52,69,2,208,327
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 175","Les Cèdres",21,45,4,24,46,3,143,287
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 176","Les Cèdres",19,58,9,57,65,3,211,399
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 177","Les Cèdres",21,77,6,65,61,3,233,362
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 178","Les Cèdres",21,57,6,51,45,3,183,370
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 179","Les Cèdres",20,59,5,47,58,6,195,323
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 180","Les Cèdres",28,56,3,53,62,1,203,324
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 181","Vaudreuil-Dorion",18,79,2,56,91,5,251,434
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 182","Vaudreuil-Dorion",29,56,8,42,54,2,191,436
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 183","Vaudreuil-Dorion",35,49,5,72,94,3,258,400
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 184","Vaudreuil-Dorion",15,33,6,55,94,0,203,413
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 185","Vaudreuil-Dorion",29,39,3,49,106,2,228,407
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 186","Vaudreuil-Dorion",30,56,4,44,80,6,220,407
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 187","Vaudreuil-Dorion",25,60,4,50,107,4,250,488
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 188","Vaudreuil-Dorion",31,39,5,42,128,7,252,521
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 189","Vaudreuil-Dorion",25,33,7,34,91,3,193,354
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 190","Vaudreuil-Dorion",23,30,4,40,153,2,252,470
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 191","Notre-Dame-de-l'Île-Perrot",34,40,3,53,113,4,247,452
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 192","Notre-Dame-de-l'Île-Perrot",28,25,2,56,127,3,241,458
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 193","Notre-Dame-de-l'Île-Perrot",27,44,5,42,109,0,227,436
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 194","Notre-Dame-de-l'Île-Perrot",18,38,7,46,101,4,214,421
