date,Party,sd
2017-07-13,Liberal,1.7803756325759756
2017-07-14,Liberal,1.913827690937127
2017-07-15,Liberal,2.0237941231291687
2017-07-16,Liberal,2.1158116728196226
2017-07-17,Liberal,2.1754496887427406
2017-07-18,Liberal,2.307065247590977
2017-07-19,Liberal,2.2006867146565474
2017-07-20,Liberal,2.162402549957993
2017-07-21,Liberal,2.1355424249034436
2017-07-22,Liberal,2.1074979870321777
2017-07-23,Liberal,2.0836131348445606
2017-07-24,Liberal,2.1027978507958727
2017-07-25,Liberal,2.0974218615678697
2017-07-26,Liberal,2.0246908131809103
2017-07-27,Liberal,1.9826778831111482
2017-07-28,Liberal,1.9451994454956327
2017-07-29,Liberal,1.9132915577217264
2017-07-30,Liberal,1.880931589611792
2017-07-31,Liberal,1.9202069529802805
2017-08-01,Liberal,1.930077451560016
2017-08-02,Liberal,1.840170878673971
2017-08-03,Liberal,1.7986734954727077
2017-08-04,Liberal,1.7623056141245794
2017-08-05,Liberal,1.7211289240859138
2017-08-06,Liberal,1.6818907632009836
2017-08-07,Liberal,1.7473226705587916
2017-08-08,Liberal,1.7718965084203901
2017-08-09,Liberal,1.8171087125056105
2017-08-10,Liberal,1.880844617569498
2017-08-11,Liberal,1.9331389187631216
2017-08-12,Liberal,1.9772748565434817
2017-08-13,Liberal,2.012419953774659
2017-08-14,Liberal,2.0452806338925797
2017-08-15,Liberal,2.055043364199134
2017-08-16,Liberal,1.9844631144945768
2017-08-17,Liberal,1.9632118639549785
2017-08-18,Liberal,1.9477256323473076
2017-08-19,Liberal,1.9113741899644086
2017-08-20,Liberal,1.8828866973847496
2017-08-21,Liberal,1.956612989971172
2017-08-22,Liberal,1.9827281086322415
2017-08-23,Liberal,1.9495595833384907
2017-08-24,Liberal,1.9527065375854273
2017-08-25,Liberal,1.9582286913901932
2017-08-26,Liberal,1.9541667044386934
2017-08-27,Liberal,1.8870958185454896
2017-08-28,Liberal,1.9075838943986334
2017-08-29,Liberal,1.8945892841303191
2017-08-30,Liberal,1.8252469329339729
2017-08-31,Liberal,1.789111643264233
2017-09-01,Liberal,1.8204791763200816
2017-09-02,Liberal,1.822028712955758
2017-09-03,Liberal,1.8206881197199773
2017-09-04,Liberal,1.87230485602634
2017-09-05,Liberal,1.8903732313231978
2017-09-06,Liberal,1.9136826805658476
2017-09-07,Liberal,1.9505440279635025
2017-09-08,Liberal,1.9337458709768867
2017-09-09,Liberal,1.9493944270544
2017-09-10,Liberal,1.965713368773962
2017-09-11,Liberal,2.0817883163987814
2017-09-12,Liberal,2.110089288102164
2017-09-13,Liberal,2.170018587946834
2017-09-14,Liberal,2.2115021312319554
2017-09-15,Liberal,2.2481474794475176
2017-09-16,Liberal,2.172157947259327
2017-09-17,Liberal,2.164998487965717
2017-09-18,Liberal,2.16735805405183
2017-09-19,Liberal,2.153134513341081
2017-09-20,Liberal,2.1987543640080736
2017-09-21,Liberal,2.2455976594768217
2017-09-22,Liberal,2.2899116141236244
2017-09-23,Liberal,2.366195805012119
